White,Black,Chinese_Other,Subcont
98,1,1,0
97,1,2,0
97,0,2,1
97,1,2,0
96,1,3,0
97,1,2,1
93,1,3,3
98,0,1,0
98,0,1,0
89,2,6,3
85,2,5,8
99,0,1,0
98,0,1,1
80,3,9,8
86,3,8,4
94,1,3,2
90,1,4,5
97,0,1,1
89,1,4,6
92,2,4,2
95,1,2,1
98,1,1,0
98,0,1,0
98,0,2,0
98,0,2,1
98,0,1,0
99,0,1,0
98,1,1,0
98,0,1,0
98,0,2,1
98,0,1,1
98,0,1,0
98,1,1,0
98,0,1,0
98,0,1,0
98,0,1,1
98,0,2,0
99,0,1,0
95,1,3,1
97,1,2,0
98,0,1,1
97,1,1,0
98,0,1,1
91,2,3,4
75,3,7,15
97,0,1,1
69,3,6,21
67,4,11,17
99,0,1,0
98,0,1,1
98,0,1,0
93,0,2,4
97,0,1,1
67,2,7,24
94,0,3,3
95,1,2,2
98,0,1,0
96,1,2,1
98,0,1,0
98,0,1,0
97,0,1,1
98,1,1,1
99,0,1,0
98,0,1,0
98,1,1,0
98,0,1,0
97,1,2,0
97,1,2,1
96,1,2,1
97,1,2,0
87,5,6,1
96,1,2,1
95,2,3,1
83,6,8,4
86,4,6,3
93,2,4,1
62,10,17,12
79,6,8,7
87,4,6,3
96,1,3,0
91,3,5,1
40,6,11,43
71,9,11,9
34,11,14,41
95,1,3,1
32,19,26,23
98,0,2,0
92,1,6,1
96,1,3,0
65,9,23,3
35,8,12,44
88,2,7,2
91,1,6,2
85,3,9,3
81,2,5,12
91,1,6,3
85,3,8,4
92,2,3,4
89,1,7,3
85,5,8,2
62,10,16,11
90,1,5,4
60,5,12,23
80,7,10,4
94,2,3,1
93,3,3,1
84,2,6,8
92,1,5,2
87,5,6,1
94,2,3,1
72,3,7,18
80,8,8,4
95,2,3,1
85,3,6,5
92,3,4,1
91,1,5,3
96,1,3,1
92,2,4,2
88,5,6,1
95,1,3,1
97,1,2,1
97,1,1,1
96,1,2,1
95,1,2,1
96,1,2,1
94,1,3,2
92,3,4,1
91,4,5,1
95,1,2,2
97,1,2,1
51,7,34,8
58,10,25,7
72,8,12,8
96,1,2,0
99,0,1,0
97,0,2,1
98,0,1,0
97,0,2,1
98,0,1,1
87,0,2,11
53,1,3,43
51,1,4,44
66,1,4,30
96,0,2,1
86,1,5,7
95,1,2,2
96,0,2,1
96,0,2,2
94,1,4,1
96,0,3,1
96,1,2,1
88,1,5,6
92,1,4,3
88,1,5,6
91,1,5,3
94,0,2,4
97,0,2,1
85,2,5,8
39,2,7,53
91,1,4,4
85,2,4,8
61,2,10,27
30,1,8,61
35,2,9,54
95,1,3,2
83,1,4,12
11,1,7,81
17,3,8,73
42,2,8,48
69,3,9,20
15,2,8,75
24,1,7,67
24,4,14,58
56,3,9,33
18,3,11,67
11,1,8,80
90,1,5,5
19,5,13,63
45,5,13,38
75,3,7,15
78,1,5,16
29,8,17,46
52,1,7,39
51,3,9,37
27,4,10,58
88,5,5,2
41,5,11,43
76,2,6,16
79,2,6,14
72,3,7,18
83,3,6,8
95,0,2,2
91,2,4,3
90,1,4,5
93,1,4,2
98,0,1,0
97,1,2,0
97,0,1,1
97,0,3,0
97,0,2,1
96,1,2,1
98,0,2,1
92,1,3,4
93,0,2,5
63,1,4,33
97,0,2,1
23,2,6,69
94,0,2,4
35,1,4,60
97,0,1,1
82,0,3,15
97,0,2,1
96,0,2,2
