Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
23.4,10.2,52.5,13.9
19.6,9.4,48.3,22.8
27.6,11.4,47.6,13.3
17.1,10.4,55.9,16.6
23.9,9.9,53,13.3
29.3,11.6,49.5,9.6
20.1,10.4,49.7,19.8
18.8,9.7,49.2,22.2
25.4,10.9,50.5,13.1
22.2,8.7,49.4,19.7
22,10.6,52.6,14.8
23,11.4,54.3,11.2
18.9,9.5,54.3,17.3
26.4,11.3,50.5,11.8
26.3,12.2,51.5,10
19.9,10.9,51.9,17.3
19.7,11.1,53.9,15.3
20.2,12.5,55.2,12.1
18.1,12.4,54.3,15.1
25.3,11.1,53.9,9.7
18.8,11.8,54.3,15.2
26.8,13.8,50.9,8.5
29,11.4,46.2,13.4
22.6,10.3,50.7,16.4
24.1,13.6,56.8,5.5
25.9,14.2,51,8.9
29.2,12.8,48.6,9.4
24.5,11.5,51.5,12.5
18.8,10,53.8,17.5
25.1,14,49.9,11
25.9,18.8,46.8,8.5
12.8,32.3,48,6.9
18.4,11.4,49.1,21.1
31.1,12.6,46.9,9.4
23,19.6,47.1,10.3
23.4,12.6,51.5,12.5
17.1,17.5,56.5,9
12.5,27.1,47.9,12.5
19.5,12.6,58.2,9.7
18.8,12.2,49,20.1
19.9,9.4,51.1,19.6
27.9,13.4,47.5,11.3
24,10.6,50.1,15.3
12.2,11,55.7,21.2
20.1,7.5,50.1,22.3
16.5,10.3,45.5,27.6
17.8,8.1,48.2,25.9
16.9,12.6,45.1,25.5
18.5,8.9,48.2,24.4
23.9,10.6,50,15.4
19,10.1,52.4,18.5
22.9,11.7,51.2,14.2
25.4,11.9,52.4,10.3
20.6,12.1,53.8,13.5
23.7,10.9,53.7,11.6
18.9,13.2,53.1,14.8
15.3,8.6,57,19
34.3,12.8,46.7,6.3
21.5,12.8,57.3,8.4
29.6,13.2,48.8,8.4
25.6,11.3,50.3,12.8
15.6,15.6,56,12.9
20.9,11.1,56.9,11
21.4,16.9,54.5,7.2
25.5,17.8,51.4,5.3
23.9,11.3,50.2,14.5
19.4,10.9,48,21.8
23.5,11.2,54.6,10.6
5.1,66.1,26.1,2.7
10,43.9,40.1,5.9
22.4,11.2,51.4,15
22.9,12.2,49.1,15.8
12.8,45.1,38.2,3.9
22,9,51,18
6.4,48.1,39.5,6
24.7,12.6,54.9,7.9
20.4,8.6,47.2,23.8
6.2,60.7,28.8,4.2
8,57,28.1,6.9
17.6,9.7,53.9,18.8
17.3,23.4,44.8,14.4
19.9,9.5,49.8,20.8
21.8,10.6,51.7,15.9
15.5,7.4,49.3,27.8
19.3,8.9,46.9,25
16.2,9.4,51.7,22.8
14.3,8.2,47.5,29.9
14.7,7.8,50.2,27.2
15.2,7.5,48.5,28.8
17.1,7.8,49.3,25.9
17.1,9,52.2,21.7
14.3,7.2,46.6,31.9
17.1,8.5,54.4,20
16.4,10.3,48.5,24.8
16.5,11.8,56.4,15.3
16.8,10.8,54.1,18.2
17.5,9,47.4,26.1
21,9.3,53.7,16
16.8,9.1,53.5,20.6
25.1,10,52.4,12.5
14.9,8.4,50.3,26.4
15.6,8.3,48.3,27.7
16.6,7.2,47.4,28.8
17.2,8.2,51.9,22.7
16.4,8.3,49,26.3
13.6,8,50.5,27.8
16.7,15.4,46.8,21.1
13,22.3,41.9,22.8
16.2,14.2,45.8,23.8
20.4,9.9,50.7,19
23.1,10,53.2,13.7
16.7,10.2,52.1,21
19.3,9.8,54.7,16.2
17.5,9.4,50.8,22.2
24.3,11.7,53.7,10.3
16,9.1,53.3,21.5
22.6,12.8,50.4,14.3
16.6,9.3,51.1,23
16.8,10.9,53.1,19.2
19.3,9.5,53.1,18.1
21.4,10.4,54.2,14
24.6,10.2,55.5,9.7
23.7,10.8,50.9,14.6
22.4,10.5,53.7,13.4
17.6,10.7,54.5,17.3
25,11.5,49.6,13.9
29.3,13.1,47.4,10.2
16.2,9.1,52.2,22.5
23.3,10.3,47,19.4
18.4,9,50.6,22
22.8,10,51.5,15.6
20.9,9.9,47.9,21.3
20.9,9.7,50.2,19.2
25,12.1,51.2,11.7
22.1,11.9,50.1,15.8
17.3,8.3,50.2,24.1
20.9,9.2,52.4,17.6
22.3,11.7,53,13
18.2,10.8,52.5,18.5
22.7,10.8,54.4,12.2
21.9,11.2,49,17.9
18.7,10.9,56.7,13.7
18.2,8.6,48.8,24.4
21.8,20,50.4,7.7
14.7,30,45.9,9.4
26.3,10.8,50.4,12.6
17.2,12.7,55.4,14.8
17.6,15.5,53.7,13.2
20.6,10.9,54,14.4
19.3,9.3,54.7,16.7
20.6,10.6,51.3,17.5
21,12.4,52.4,14.2
17.8,8.2,48.1,25.9
16.7,9.6,55.5,18.1
20.4,11.1,49.6,18.9
14.5,9.1,47.3,29.1
24.3,11.6,49.1,14.9
26.7,12.1,48.2,13
17.1,8.3,45.9,28.7
23.7,11.8,51,13.4
23.9,11.2,52,13
16.3,9.6,51.7,22.4
14.7,7.4,52.6,25.3
18.1,9.8,51.6,20.5
19,9.2,49,22.9
16.4,10,45.9,27.7
19.6,8.2,51.1,21.1
19.4,9.6,48.7,22.3
15.5,15.3,55.3,13.9
10.6,22.5,49.5,17.5
18.7,13.8,48,19.5
9.7,31,47.4,11.9
18.3,9.4,48,24.3
20.8,16.4,51.3,11.5
9.2,49.9,28,12.8
9.3,46.8,33.4,10.5
13.1,34.7,38.7,13.4
17.7,13.8,48.4,20
16.9,7.5,49.1,26.5
18.2,12.2,48.4,21.2
19.5,13.5,46.6,20.3
18.9,13.4,51.6,16.1
16.9,10.1,50.7,22.3
18,8.5,49.3,24.2
18,17.1,48.4,16.5
20.4,8.7,51.4,19.6
22,10.2,51.9,16
18.1,9.5,51.5,20.9
21.5,10.5,52.1,15.8
18.5,9.1,47,25.4
21.7,9.2,52.2,16.9
23.2,11.8,49.8,15.3
26.4,11,49.8,12.9
19.9,12.9,52.7,14.4
18.5,18.7,53,9.8
19.5,5.6,49.6,25.4
19.5,10.4,51.1,19
19.2,9.9,54.2,16.6
21.1,11.2,41.7,26
17.7,19.7,52.1,10.6
22.2,7,47.6,23.2
15.8,17.6,48.5,18.1
18,17.2,47.7,17.1
23.2,11.8,51.1,14
13.6,28.4,36.7,21.4
18.9,17.7,54.9,8.6
19.4,15.3,51.3,14
24.6,12.6,51.3,11.6
19.3,13.8,56.3,10.6
16.8,21.5,54.2,7.5
22.1,11.6,53.9,12.4
8.6,37.9,45.2,8.3
18.7,13.8,61.6,5.9
8.9,33.9,51.5,5.8
8,30.8,53,8.1
19.6,10,55.9,14.4
19.8,10.5,56.6,13.2
16.8,7.8,64.6,10.8
9.8,23.7,51.9,14.6
4.8,51.4,39.4,4.4
18,8.8,56,17.2
8.1,36.5,45.3,10.1
19.3,8.8,60.7,11.1
16.2,10.7,62.4,10.7
16.1,9.5,66.3,8.1
20.2,8.8,54.1,16.9
11.7,9.5,66.8,11.9
21.7,11.2,59.2,7.9
17.7,9.1,58.2,15
20,10,54.1,15.8
19.5,9.6,56.6,14.4
26.1,12.5,49.8,11.6
26.4,11.6,49.5,12.5
17.8,9.4,53.4,19.4
20.8,10.6,50.4,18.2
21.7,10.3,51.4,16.6
18.3,10.4,49.3,22.1
25.4,10.4,49.3,14.9
24.7,11.2,48.8,15.3
16.6,8.6,50.5,24.3
27.7,12.5,47.5,12.4
16.7,7.4,52.3,23.6
15.8,6.8,47.9,29.5
22.5,7.6,49.6,20.3
16.6,8.6,49.1,25.7
14.5,7,46.3,32.2
22.5,6,50.9,20.5
16.5,8.2,49.2,26.2
15.3,8.3,46.1,30.3
16.9,8.3,48.5,26.3
18.4,8.6,53.7,19.3
20.4,8.6,47.8,23.3
18.6,8.5,49.5,23.4
17.8,8.2,49.4,24.5
17.6,9.7,47.8,24.9
20,9.7,52.9,17.4
17.3,8.6,43.8,30.3
15.8,8.2,47.5,28.5
9.9,8.6,53,28.5
15.8,10.4,53.4,20.4
23,12.3,50.6,14
13.3,9.1,49.3,28.3
16.9,7,47.2,28.9
15.7,10.3,44.4,29.5
18.6,8.3,45.4,27.8
17.3,8.9,48.9,25
17.6,9,49,24.3
16.8,9.3,55.1,18.8
14.8,8.6,46.2,30.4
20.5,8.7,52,18.8
17.1,10.9,52.9,19.2
18.4,10.9,53.8,16.9
15.8,8.3,46.8,29.2
21.7,10.5,59.8,8
19.3,9.1,49.6,22
19.8,9,55,16.1
21.6,10.7,59.5,8.2
20.1,9.2,48.8,21.9
22.9,10.8,53.8,12.6
18.1,9.9,54.7,17.4
17.5,9.5,46,27
15.6,32.2,42.9,9.4
15.8,16.7,50.3,17.2
17,9.5,52.9,20.6
20,8.1,48.6,23.3
24.5,8.8,56,10.7
17.5,8.1,50.6,23.8
20.9,10.2,49.7,19.2
19.6,8.6,49.8,22.1
15.9,9.3,50.6,24.2
18.6,9.3,54.2,17.9
19,10,50.4,20.6
20.4,9.4,53.5,16.7
17.8,10.2,56.6,15.4
20.1,9.6,52.8,17.6
17.3,9.3,49.8,23.6
15.2,8.5,50.5,25.8
15.8,7.7,47.5,28.9
19.8,10.6,49.8,19.7
22,10,51.4,16.6
17,10.1,52.4,20.5
17.1,12.9,48.5,21.5
22.2,11.1,49.4,17.3
20.1,9.7,51.4,18.8
20,8.8,47.6,23.6
20.9,10,52.2,17
19.2,10.1,49.2,21.5
20.4,9.3,52,18.2
17.9,10.5,49.5,22.1
21.2,10.7,52.2,15.9
23.4,12.1,54,10.5
15.8,8.3,45.7,30.2
17.6,9.1,48.2,25.1
19,10.8,56.8,13.4
21.5,10.3,54.5,13.7
18.9,8.4,49.9,22.8
16.1,11.1,58.9,13.9
19.3,11,53,16.6
18.3,9.1,51.9,20.7
7.2,49.8,34.1,9
15.6,16.2,50.8,17.4
14.6,30.2,45.9,9.2
23.3,12.4,53.2,11.2
9.3,41,38.6,11.1
16.6,25.1,48.4,9.9
14.7,15.9,54.9,14.4
15,8.2,42.9,33.9
18.9,8.6,48.9,23.6
18.6,9.2,48.6,23.6
19.5,9.9,46.5,24.2
16.6,8.6,47.5,27.2
21.4,9.6,51.6,17.3
19.3,10.3,53,17.4
15.5,8.1,46,30.4
20.3,10.6,52,17.2
15.3,12.2,55.6,16.9
7.9,5.4,47.2,39.5
15.5,7.9,46.7,29.8
19.2,8.3,48.7,23.7
22.6,10,48.4,19
13.8,9,49.2,28
14.3,8.4,47.7,29.6
12.2,6.1,42.5,39.2
12.9,7.1,44.6,35.3
16.2,8,45.9,29.8
18.6,9.3,48.5,23.7
16.9,7.4,48.3,27.4
18.4,8.8,48.9,23.9
23.1,8.2,51.7,17
21.7,12.5,50.1,15.7
21.4,10.3,51.9,16.4
19.1,14.1,47.9,18.9
20.1,9.5,48.3,22
17.1,29.9,42.5,10.4
20.2,14,49.4,16.4
19.1,9.8,50.7,20.4
13.4,22.6,43.2,20.7
17.7,21.7,50.4,10.3
22.2,9,52,16.8
20.8,13.7,55.7,9.7
18.8,12,54.8,14.4
8.6,25.5,51.4,14.5
15.2,8.4,51.6,24.9
14.4,10.3,63.4,11.9
14.5,6.4,46.3,32.8
9.8,26.2,48.9,15.1
17,10.5,41.7,30.8
19.6,10.2,51.7,18.5
15.2,8.7,45.4,30.7
19.8,9.4,52.3,18.6
20.6,10.4,52.5,16.5
17.8,8.6,50.9,22.7
19.9,10.7,49.7,19.7
19.8,9.5,54.1,16.6
15.9,13.7,51.2,19.3
18.7,9.3,56,16.1
17.4,9.4,51.1,22.1
17.8,9.1,50.2,22.9
20.6,8.1,53.7,17.6
22.4,9.3,51.2,17.2
14.8,12.3,52.2,20.8
17.3,9.2,52.3,21.2
16.9,7,49.1,27
9.9,5.8,42.5,41.7
15.9,9.2,49.1,25.7
26.9,10.7,48.1,14.3
14.4,7.6,52.1,25.9
16.7,9,52,22.3
22,9.6,51.5,16.8
23.3,10.9,50.2,15.5
18.9,8.1,52.3,20.7
17.5,8.7,51.8,22
19.7,9.3,57.4,13.6
20.3,9.6,60.3,9.8
21.2,9.2,57.8,11.7
15.6,9.1,51.1,24.2
19.8,8.9,58.2,13
20.9,11.4,60.2,7.5
23.8,11.9,52.9,11.4
21.2,9.3,54.7,14.8
20.3,9.2,60.6,9.9
17.5,10.9,62.8,8.8
24.3,10.7,50.6,14.4
19.1,9.9,58,13
20.3,9.2,53.8,16.7
18,9.7,52.1,20.2
18,8,53.8,20.2
18.5,8.3,48.7,24.5
16.7,8.5,49.5,25.3
20.6,10.1,56.3,13.1
16.8,8,52,23.2
23.5,9,52.6,14.9
20.2,8.7,51.2,19.8
17,7.5,50,25.5
26.9,9.8,52,11.4
23.3,8.7,51.7,16.3
26.3,11.2,51.9,10.6
24.1,12.8,54.5,8.6
22.9,9.7,51.7,15.6
25.4,13.4,51.1,10.1
25.5,9.1,52.6,12.7
22.2,12.5,56.1,9.2
18,8,47,27
24.2,10.3,56.6,8.9
21.7,9.1,56.2,12.9
17.4,6.6,52.7,23.3
22.3,8.1,51.7,17.8
25.7,10.5,51.2,12.6
18.5,7.6,53.4,20.6
23.3,9.2,51.2,16.3
27.5,10.9,50.8,10.8
18.6,9,47.8,24.5
23,9.1,52.1,15.8
23.9,10.4,49.9,15.8
22.9,10,51.6,15.5
17.5,8.4,53.5,20.5
26.2,9.6,51.5,12.7
30.1,13.2,48.5,8.2
29,10.8,49.9,10.3
20,9.6,54.3,16.1
21.8,9.7,50.8,17.7
19.8,9.7,58.7,11.8
30.1,12.3,49.6,8
24.6,10.3,52.8,12.4
30.7,11.2,51.4,6.7
19.3,16.6,57.5,6.7
28.7,11.8,52.3,7.2
26.2,11.8,51.4,10.6
20.7,14.5,57.5,7.3
16.7,8.2,47.7,27.4
17.8,8.9,50.6,22.7
16.2,7.6,46.8,29.4
19.5,9.6,49.3,21.7
20.1,9.2,50.8,19.8
21.3,10.1,54.3,14.3
22.8,10.1,57.6,9.4
19.9,7.9,51.3,20.9
19.4,9.2,46.7,24.7
23.3,11.1,53.8,11.9
19.4,7.5,56.8,16.2
16.3,7.7,55.8,20.1
20,10.1,52.1,17.9
21.4,12,55.5,11.1
15.9,12.3,56.5,15.3
15.8,8,47.6,28.6
20.7,10.2,48.2,20.9
17.1,9.7,48.9,24.4
19,10.8,47.1,23.1
17.1,10.4,49.2,23.4
17.8,8.8,52.7,20.6
20.8,10.2,52.4,16.7
23.3,10.1,54.1,12.6
23.7,10.8,54.2,11.4
23.8,9.5,53.3,13.4
20.5,10.7,49,19.8
19.9,8.9,49.7,21.5
23.3,10.3,48.5,17.9
21.7,9.9,54.7,13.7
19.2,9.6,53.3,18
26.6,9.4,58.7,5.2
20.1,9.9,58.7,11.3
27.2,9.1,58.5,5.3
27.8,11.2,50.6,10.5
16.5,9.5,49.7,24.4
18.8,9.3,52.4,19.4
21.5,9.3,52.2,17
19.9,9.4,52.9,17.9
17,10.4,51.9,20.8
22.1,10,55.8,12.2
20.3,18.5,53,8.2
22.6,9.8,50.9,16.7
19.2,27.8,44.7,8.3
25.1,11.6,52.6,10.7
24.1,10.4,54.2,11.4
23.5,12.3,55.3,8.9
22,11.2,53.4,13.4
18.6,12,55.5,13.8
20.5,14.6,56.4,8.4
25,10.8,54.5,9.7
21.4,10.1,55.3,13.1
20.5,10.2,50.5,18.8
19.3,10.3,52.7,17.7
24.1,11.8,54.3,9.8
22.6,11.8,53.5,12.1
28.2,12.3,51.7,7.8
16.7,8.7,49.5,25.1
18.3,13.6,52.2,15.8
19.4,9.4,53.5,17.7
18.3,9.2,51.4,21
20.6,10.3,52.5,16.6
18.3,8.9,53.6,19.2
19,8.8,49.6,22.6
15.1,9.8,48.4,26.7
21,11.5,53.1,14.4
21,8.8,54.3,16
19.4,8.5,50.3,21.7
22.6,10.3,57.3,9.8
16.2,8.5,49.6,25.7
19.7,8.7,48.9,22.7
19.4,10,50.7,19.9
20.8,9.1,53.1,17
17.1,7.8,51.1,24
19.2,9.1,57.3,14.3
20.3,9.3,57.4,12.9
22.6,9.5,55.4,12.6
19.8,11.3,51.8,17.1
21.4,8.6,57.4,12.6
21.8,9.7,56.9,11.6
19.8,7.8,63.8,8.6
24.8,9.2,54.5,11.6
20,9.8,56.1,14.1
21.4,8.8,55.6,14.2
21.1,13.8,44.6,20.5
20.2,10,56.8,13.1
20.2,7.9,53.1,18.8
17.5,16.1,53.9,12.5
22.7,10,49.3,18.1
17.8,7.3,53,21.9
20.5,9.1,50,20.4
17.7,8.5,51.8,22
17.9,9.5,51.7,20.9
19.4,10.1,49.8,20.7
23.8,10.8,48.9,16.5
19.2,9.8,55.9,15
19.9,8.6,54.1,17.4
18,7.7,51.9,22.4
21.2,10.4,49.8,18.6
17.3,8.3,50.6,23.8
20.3,9.8,55.1,14.8
18.5,9.5,56,16
21.5,9.3,52.5,16.7
20.1,10.6,52.5,16.9
21.9,9.1,55.6,13.4
18.6,8.7,50.1,22.6
18.2,9.2,59.2,13.3
20.4,8.6,54.2,16.8
21.2,8.7,49.1,21
20.6,8.6,50.1,20.8
20.4,8.2,49.7,21.7
21.9,8,49.7,20.4
23,7.8,50,19.3
21.6,8.4,58.2,11.9
20.2,8.3,52.6,18.9
27.3,9.5,51.3,11.9
22.9,10.2,61.1,5.8
22.2,8.6,58.7,10.5
22.6,9.1,48.8,19.6
20.3,16.3,56.2,7.3
16.3,13.6,65.1,5
16.1,26.8,48,9.1
20.2,8,57.7,14.2
16.1,20.5,56.5,6.9
22.7,8.3,50.9,18.1
14.5,43.2,33.6,8.7
25.8,11.7,53.7,8.7
22.5,10.8,52.8,13.9
28.9,10.4,51.5,9.1
26.9,9.6,53.7,9.8
23.5,10.1,55.8,10.6
28.3,10.8,51.8,9.2
25.5,11.5,52,11
24.7,9.3,53.7,12.3
25.7,10.4,55.3,8.6
28.4,8.7,55.2,7.7
27,10.5,54.5,8
23.8,9.1,55.1,12
23.3,8.5,57.9,10.3
25.8,9.7,53.9,10.7
25,10.1,53.3,11.6
23.5,8.8,59.6,8.1
19.4,8.7,51.2,20.8
19.1,6.8,50.5,23.5
23.4,10,50.9,15.7
17,6.5,54.4,22.2
21.1,8.8,57.8,12.3
20.5,8.6,52.2,18.7
23.7,8.8,54.1,13.4
21.4,8.2,52.2,18.2
20,8.5,50.1,21.5
19.3,14,52.9,13.8
19.4,8,55.2,17.3
19.5,8.8,58.5,13.2
19.9,8.4,49.6,22.1
20.4,8.5,53.4,17.8
21.6,7.7,54,16.6
16.9,8.8,50.8,23.5
21,9.3,50.8,18.8
20.8,9.9,48,21.3
17.5,7.6,50.5,24.5
21.9,7,52.5,18.6
19.2,8.5,49.6,22.7
22.3,9.4,54.9,13.3
22.9,8.5,47.3,21.2
21.8,10.2,52.4,15.7
20.2,8.4,52.2,19.2
18.2,20.5,46.3,15.1
22.4,9.4,54.2,14
20.2,8.5,52,19.3
22.1,8.2,59.6,10.1
22,9.3,55.7,13
18.4,7.7,51.7,22.2
23.1,8,52.7,16.2
21.7,8.2,52.9,17.3
21.6,7.2,51.8,19.4
21.8,7.8,53.8,16.6
22.7,10.2,50.8,16.3
19.7,8.8,52.2,19.3
21.2,8.5,49.2,21.1
19.8,7.3,50,22.9
20.7,7.2,53.1,19
19.6,7.7,49.5,23.2
18.8,8.3,55.8,17.1
18.8,8.7,53,19.6
25.4,10.1,53,11.6
15.6,8,54.6,21.8
23.9,9.6,56.4,10.1
22,10,52.6,15.4
21.2,7.2,52.7,18.8
18.3,8.3,56.1,17.3
31,11.6,48,9.4
21.2,9.8,55.3,13.8
18.8,11.5,64.2,5.5
20.1,9,57.1,13.8
23.3,9.4,56,11.3
27.8,8.5,58,5.7
25.3,10.4,54.7,9.7
24.3,10,54.2,11.5
21.4,8.4,57.6,12.6
24.3,9.9,57.5,8.3
22.1,10.2,59.2,8.5
27.5,8.6,52.9,11
19.5,8.6,53.3,18.6
26.7,10.7,57.2,5.5
21.6,9.9,55.6,12.9
22.3,9.9,49,18.8
24.9,9.4,57.9,7.7
20.8,9,48.4,21.8
21.4,9.7,49.6,19.3
19.7,7.5,52.2,20.7
31.6,9.6,48.7,10.1
20.6,10.7,51.8,16.9
9.5,54.4,29.4,6.7
18.9,9.7,48.7,22.8
20.2,10.7,51.8,17.4
19.3,10.9,53.2,16.5
19.9,10.3,49.8,20
20,9.9,50,20.1
17.3,25.3,45.6,11.8
17.2,26.1,44.5,12.1
21.7,17.3,52.1,8.9
18.3,9.8,57.9,14.1
20.5,10.1,54.5,15
20.7,11.2,51.3,16.9
15.9,12.8,60.5,10.9
10.6,34.6,49.1,5.7
23.9,7.7,58.8,9.6
18.6,10.2,50.7,20.6
14.5,31.7,47.2,6.6
14.1,7.8,66.2,11.8
16.3,7.8,62.1,13.8
21.1,8.7,56.6,13.6
13.4,29.4,51,6.2
17.9,8.5,54.2,19.3
9.6,13.3,69.5,7.6
22,14.1,51.2,12.7
9.8,9.8,69.9,10.5
9.1,24.6,59.2,7
12.3,7.5,62.5,17.8
7.3,15.4,70.2,7.1
11.1,17,61.7,10.1
11.1,14.9,57.2,16.8
14.8,13.9,54.5,16.8
14.5,8.3,50.6,26.7
23.9,11.8,50.7,13.6
23.8,11.1,51.7,13.4
16.8,8.2,46.4,28.6
20.5,9.5,52.5,17.5
22,10.2,51.8,16
21.2,9.2,52.3,17.3
16.8,10.4,55.4,17.4
19.6,10.7,56.7,13
21.5,9.6,55.5,13.4
22.1,10.7,55.4,11.7
24.4,11.4,55,9.2
24.5,11.8,49.9,13.9
19.8,9.5,55,15.7
19.5,16.7,54.1,9.7
15.1,34.2,42.1,8.6
17.8,14.4,49,18.9
18.1,34.3,37.5,10
15.1,29.8,45.8,9.4
10.7,38.5,42.2,8.5
19.7,12.5,57.4,10.3
12.1,20,52.5,15.4
19.3,8.5,54.8,17.4
11.4,20.2,50,18.4
14.3,20.7,51.4,13.6
12.3,34.7,39.6,13.4
21.5,9.9,50.8,17.8
14.5,34,38.9,12.6
19.5,11.4,50.2,19
16.1,35.8,40.3,7.8
15.8,12.2,51.4,20.6
22.2,10.8,51.8,15.2
20.6,9.9,51.4,18
11.9,33,40,15.1
22.5,10.4,54,13.1
19.8,10.6,52.3,17.3
25.6,11.3,50.6,12.5
11.9,35.2,43.2,9.6
19.6,10.5,55.9,14
20.6,9.5,54.1,15.8
20.8,10.3,50.3,18.5
8.6,43.2,42.4,5.9
19.6,10.8,49,20.7
24.3,11.4,52.4,11.9
13.7,18.8,59.2,8.4
17.7,11.9,61.2,9.2
21.3,25,49.7,4
5.4,55.2,33,6.4
20.7,9.4,52.1,17.8
22.1,10,49,18.8
17.4,9.4,52.1,21.2
26.5,10.1,49.6,13.8
21.3,11.2,54.5,13
13.1,29.9,51.5,5.6
19.2,10.6,53.5,16.7
19.4,10.7,55.1,14.8
25.8,11.2,49.8,13.1
17.7,9.4,53.1,19.8
17.3,8.2,47.7,26.8
17.6,8.5,47.7,26.3
13.7,11.6,54.2,20.5
12.9,7.6,45.2,34.4
18.9,8.7,47.7,24.6
20.6,10.2,50.4,18.8
18.3,9.7,51.1,20.9
16.7,12.1,55,16.2
11.3,6.5,41.5,40.7
19,9.7,48.6,22.6
11.6,7.6,41.4,39.3
12.8,7.4,47.5,32.2
15.8,10,47.9,26.4
12.2,7.8,46.6,33.5
13.9,9,47.5,29.6
14.2,8.4,46.4,31.1
13.5,8,47,31.5
22.3,9.7,54.2,13.8
18.9,8.6,53.7,18.7
18.4,7.6,53.2,20.8
15.7,9,50.3,25
19.2,9.1,55.7,15.9
21.8,9.4,54.3,14.5
18.3,12.2,52.4,17.1
18,8.7,51.2,22.2
20.1,8.5,55,16.3
18.5,8.5,55.4,17.6
21.5,9.3,54.6,14.6
20.3,9,52.2,18.5
18.7,8.3,53.5,19.5
22.7,6.9,55.4,15
18.2,10.4,53.5,17.9
17.5,9.5,57.5,15.5
19.7,8.1,53,19.2
17.6,8.7,49.2,24.5
17.1,8.4,49.9,24.6
20.2,9.1,49.7,21
21.1,7.6,51.6,19.7
17.7,7.9,48.4,26
16.6,8.9,46,28.5
23.3,10.6,49.4,16.7
20.8,8.2,51.6,19.4
15.5,17.5,47.8,19.2
15.3,11.8,54.6,18.3
19.3,11.1,53.9,15.7
18,11.6,57.2,13.2
28,12.2,51,8.9
23.6,9.9,53.2,13.3
23.5,11.7,55.8,9.1
18.2,10.2,54.5,17.1
20.4,9.1,54.2,16.3
23.3,9.9,52.7,14.2
24.3,7.9,53.4,14.4
22.3,8.9,50.6,18.1
19.5,8.7,53.2,18.6
17.3,8.8,52.4,21.5
19.7,8.2,51.4,20.7
19.9,8.2,55.3,16.6
17.1,7.6,53,22.3
18.8,8,53.8,19.3
26,10.7,53.3,10
24.2,7.5,57.2,11.1
21.6,8.4,55.9,14.2
17.1,10,53.1,19.7
22.3,8.9,52.8,16
18.8,9.4,54,17.8
22.8,10.6,51.2,15.5
15.1,10,52.9,22
16.4,7.9,49.3,26.4
16.4,6.8,52.1,24.7
22.9,15.7,47.5,13.8
18.6,13,50,18.3
18,8,51.5,22.6
20,7.8,53.2,18.9
16.3,7.9,52.2,23.6
18.8,8.2,52.5,20.5
17.9,7.9,51.5,22.6
22.4,8.8,53.7,15
19.4,8.9,53.2,18.5
18.3,7.7,55.6,18.4
20.2,9.6,58,12.2
28.2,9,55.7,7
24.6,10.7,53.2,11.5
19.3,14.4,52.3,13.9
19.8,10.2,58.2,11.8
21.4,7.9,61.2,9.6
18.3,9.3,49.4,23
24.7,11.3,54,10
20.4,9.7,56.1,13.8
22.6,9.5,58.1,9.7
17.7,8,51.4,22.9
17.9,6.7,49.8,25.6
19.8,7.4,49.6,23.2
21.5,8.9,50.2,19.5
17.9,8,49.6,24.5
22.5,9.7,51.1,16.7
20.3,8.1,52.8,18.7
20.4,8.5,54,17.1
19.2,9,47.2,24.6
22.9,7.8,47.8,21.4
21.1,7.9,52.8,18.2
22.4,8.2,49.6,19.9
21.4,7.8,48.3,22.5
18,9.2,47.6,25.2
22,8.5,48.4,21.2
22,7.8,49.5,20.7
20.4,9,49.1,21.5
15.7,8.1,51.2,25
19.5,8.1,49.7,22.6
18.9,8,52.1,21
15.8,8.4,50.9,25
21.2,8.7,52.8,17.3
19,9.2,54.1,17.7
16.5,7.2,47.2,29.1
19.2,7,49,24.8
17.6,9,47.8,25.5
18.8,7.9,51.6,21.7
22,11.5,51.5,14.9
17.3,8.1,54.1,20.6
21.7,13.6,52.1,12.6
20.5,8.2,51.4,19.9
23,14.6,52.6,9.8
22.4,10.7,52.7,14.2
22.7,11.4,55.4,10.5
26.2,14.2,52.5,7.1
25.5,10.3,52.8,11.3
21.9,16.2,50,11.9
21.3,9.2,56.9,12.6
18.5,7.9,50.9,22.7
19,8.7,47.5,24.8
20.1,7.7,55.2,17
21.1,7.8,48.1,23
16.4,6.8,50.6,26.2
20.3,7.1,47.4,25.2
21.6,7.8,50.3,20.2
21,10.7,53.6,14.7
18,15.2,51.3,15.4
19.2,14.3,51.5,15
15.6,14.2,53.4,16.8
7.6,47.2,36.1,9.1
21.1,13,54.2,11.7
9.2,45.4,36.1,9.3
12.8,26.3,51.4,9.5
15.7,18,57.4,8.9
16.6,20.6,49.5,13.2
22.3,9.6,50.6,17.4
22.2,19.1,47.2,11.4
18,18.3,47.2,16.6
20.9,9.6,52.3,17.2
19.2,7.5,52.1,21.2
22.1,8.7,50.9,18.3
20.3,9.3,52.7,17.8
19.7,8.2,50.3,21.8
19.9,7.7,56,16.3
19.5,8.7,51.7,20.1
20,7.8,50.4,21.9
19.1,7.8,48.6,24.6
15.6,7.7,47.6,29.1
20.3,11.9,50.9,16.9
15.7,10.5,53.8,20
18.5,8.5,49.6,23.4
18.3,10.2,51.2,20.3
18.4,9.2,49,23.5
17.7,8.8,48.4,25
17.6,8.5,52.7,21.2
17,9.4,45.5,28.1
