Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
27.4,12,54.4,6.1
25,12.1,56.4,6.5
27.4,12,52.8,7.9
14.6,19.3,61.8,4.3
22.8,12.8,54.7,9.6
20.1,10.3,63.3,6.3
26.3,12.4,55.3,5.9
21.2,10.1,63.9,4.8
20.1,8.6,64.7,6.6
12.6,6.9,71.1,9.3
18.3,11.8,66.4,3.5
21.5,10.2,59.9,8.3
17.8,10.3,66.7,5.2
19.2,10,48,22.8
17.6,8.4,54.2,19.8
21.7,9.5,51.2,17.6
20.3,9.4,52.6,17.7
19,9.9,54.1,17
23.2,10.8,52.8,13.2
21.3,9.7,55.2,13.8
25.2,9.7,53.9,11.1
25.7,11.5,54,8.8
24,9.1,58,8.9
24.1,9.3,58.8,7.8
24.7,8.6,58.7,8.1
26.4,11.1,54,8.4
22.6,8.1,62,7.2
22.8,8.1,59.1,10
20.1,9.3,62.1,8.6
21.9,9.1,60.9,8.1
24.4,10,54.9,10.7
20.7,11.2,57.3,10.8
23.7,10.9,57.3,8.1
18,11.2,62.1,8.7
24.7,9.7,58.2,7.4
23.6,9,60.7,6.7
20.4,9.7,62.2,7.7
18.3,10.3,62.8,8.6
20.7,11.5,60.1,7.7
22.1,10.6,59.1,8.2
20.5,13.7,58.3,7.5
14.3,7.3,63.4,15
16.9,10.4,65.2,7.5
20,10,60.7,9.3
14.1,8.9,67.2,9.8
13.5,9.8,66,10.7
19,6.7,61.8,12.5
20.8,10.8,58.3,10.1
12.5,10.3,71.3,5.9
19.4,7.1,67.6,5.9
15,7.4,69.6,8
16.9,8.6,60.7,13.8
10.8,7.7,74.5,6.9
22.6,22.7,45,9.8
12.9,7.2,67.2,12.6
